,position,dataset,turn,metric scores
0,last,natural_questions,7,0.83
1,last,natural_questions,6,0.842
2,last,natural_questions,5,0.875
3,last,natural_questions,4,0.852
4,last,natural_questions,8,0.851
5,last,frames,8,0.889
6,last,frames,4,0.891
7,last,frames,7,0.857
8,last,frames,5,0.882
9,last,frames,6,0.868
10,last,multiwoz,4,0.964
11,last,multiwoz,6,0.971
12,last,multiwoz,5,0.974
13,last,multiwoz,8,0.935
14,last,multiwoz,4,0.931
15,last,multiwoz,7,0.972
16,last,multiwoz,8,0.971
17,last,multiwoz,7,0.941
18,last,multiwoz,5,0.955
19,last,multiwoz,6,0.944
20,middle,natural_questions,6,0.868
21,middle,natural_questions,4,0.866
22,middle,natural_questions,8,0.841
23,middle,natural_questions,7,0.849
24,middle,natural_questions,5,0.875
25,middle,frames,6,0.837
26,middle,frames,7,0.823
27,middle,frames,5,0.832
28,middle,frames,4,0.887
29,middle,frames,8,0.809
30,middle,multiwoz,6,0.0
31,middle,multiwoz,6,0.923
32,middle,multiwoz,4,0.0
33,middle,multiwoz,8,0.0
34,middle,multiwoz,5,0.903
35,middle,multiwoz,5,0.0
36,middle,multiwoz,7,0.0
37,middle,multiwoz,4,0.919
38,middle,multiwoz,4,0.954
39,middle,multiwoz,5,0.937
40,middle,multiwoz,8,0.906
41,middle,multiwoz,8,0.899
42,middle,multiwoz,6,0.956
43,middle,multiwoz,7,0.909
44,middle,multiwoz,7,0.894
45,first,natural_questions,7,0.821
46,first,natural_questions,4,0.901
47,first,natural_questions,5,0.864
48,first,natural_questions,8,0.778
49,first,natural_questions,6,0.833
50,first,frames,7,0.777
51,first,frames,4,0.869
52,first,frames,5,0.816
53,first,frames,8,0.763
54,first,frames,6,0.795
55,first,multiwoz,7,0.788
56,first,multiwoz,6,0.817
57,first,multiwoz,4,0.918
58,first,multiwoz,5,0.878
59,first,multiwoz,4,0.897
60,first,multiwoz,5,0.852
61,first,multiwoz,7,0.789
62,first,multiwoz,6,0.782
63,first,multiwoz,8,0.753
64,first,multiwoz,8,0.773
