model_name,turn,key,acc_score,map_score,acc_A,acc_B,acc_C,hotel_acc,train_acc,attraction_acc,restaurant_acc,A,B,C
qwen_14b,1,qwen_14b-1-0,0.703,0.846,0.883,0.706,0.503,0.735,0.63,0.967,0.535,0.503,0.316,0.18
qwen_14b,2,qwen_14b-2-0,0.475,0.718,0.77,0.427,0.244,0.525,0.379,0.835,0.258,0.623,0.251,0.126
qwen_14b,3,qwen_14b-3-0,0.446,0.698,0.74,0.403,0.197,0.463,0.363,0.819,0.203,0.625,0.255,0.12
qwen_14b,4,qwen_14b-4-0,0.403,0.678,0.688,0.306,0.162,0.303,0.326,0.724,0.308,0.687,0.209,0.104
qwen_14b,5,qwen_14b-5-0,0.38,0.655,0.762,0.24,0.152,0.328,0.331,0.688,0.209,0.704,0.189,0.107
qwen_14b,5,qwen_14b-5-1,0.452,0.701,0.623,0.434,0.299,0.556,0.365,0.752,0.186,0.521,0.294,0.185
qwen_14b,5,qwen_14b-5-2,0.477,0.714,0.681,0.485,0.262,0.558,0.348,0.762,0.302,0.538,0.307,0.154
qwen_14b,5,qwen_14b-5-3,0.418,0.681,0.642,0.375,0.241,0.488,0.329,0.771,0.174,0.576,0.266,0.158
qwen_14b,5,qwen_14b-5-4,0.463,0.713,0.783,0.342,0.274,0.529,0.335,0.802,0.276,0.637,0.238,0.125
qwen_7b,1,qwen_7b-1-0,0.367,0.635,1.0,0.009,0.021,0.337,0.378,0.403,0.348,0.985,0.008,0.007
qwen_7b,2,qwen_7b-2-0,0.325,0.607,1.0,0.003,0.009,0.34,0.315,0.37,0.285,0.994,0.003,0.003
qwen_7b,3,qwen_7b-3-0,0.337,0.614,1.0,0.003,0.003,0.289,0.36,0.352,0.333,0.998,0.001,0.001
qwen_7b,4,qwen_7b-4-0,0.33,0.611,1.0,0.0,0.0,0.288,0.32,0.355,0.369,0.999,0.001,0.0
qwen_7b,5,qwen_7b-5-0,0.322,0.609,1.0,0.0,0.0,0.294,0.334,0.335,0.32,1.0,0.0,0.0
qwen_7b,5,qwen_7b-5-1,0.322,0.61,1.0,0.0,0.0,0.319,0.331,0.303,0.331,1.0,0.0,0.0
qwen_7b,5,qwen_7b-5-2,0.322,0.606,1.0,0.0,0.0,0.327,0.298,0.335,0.338,1.0,0.0,0.0
qwen_7b,5,qwen_7b-5-3,0.322,0.607,1.0,0.0,0.0,0.322,0.344,0.346,0.27,1.0,0.0,0.0
qwen_7b,5,qwen_7b-5-4,0.321,0.613,0.997,0.0,0.0,0.33,0.318,0.332,0.307,0.999,0.001,0.0
