model_name,turn,key,acc_score,map_score,acc_A,acc_B,acc_C,hotel_acc,train_acc,attraction_acc,restaurant_acc,A,B,C,hotel,train,attraction,restaurant
llama2_13b,1,llama2_13b-1-0,0.443,0.697,0.984,0.183,0.104,0.434,0.696,0.346,0.401,0.774,0.14,0.086,0.221,0.178,0.317,0.283
llama2_13b,2,llama2_13b-2-0,0.403,0.678,0.955,0.151,0.135,0.365,0.607,0.333,0.393,0.748,0.13,0.122,0.242,0.173,0.332,0.254
llama2_13b,3,llama2_13b-3-0,0.397,0.677,0.875,0.182,0.131,0.355,0.586,0.37,0.368,0.709,0.156,0.135,0.224,0.141,0.359,0.276
llama2_13b,4,llama2_13b-4-0,0.396,0.676,0.862,0.197,0.132,0.406,0.596,0.352,0.365,0.702,0.174,0.124,0.246,0.111,0.388,0.255
llama2_13b,5,llama2_13b-5-0,0.404,0.677,0.849,0.232,0.149,0.397,0.653,0.36,0.359,0.68,0.192,0.128,0.249,0.12,0.382,0.248
llama2_13b,5,llama2_13b-5-1,0.431,0.691,0.919,0.24,0.152,0.42,0.664,0.375,0.39,0.71,0.184,0.106,0.238,0.142,0.36,0.261
llama2_13b,5,llama2_13b-5-2,0.427,0.689,0.928,0.253,0.116,0.464,0.608,0.368,0.372,0.71,0.196,0.094,0.242,0.144,0.356,0.258
llama2_13b,5,llama2_13b-5-3,0.416,0.682,0.928,0.213,0.128,0.41,0.625,0.375,0.347,0.727,0.166,0.107,0.222,0.163,0.346,0.269
llama2_13b,5,llama2_13b-5-4,0.422,0.686,0.907,0.243,0.134,0.458,0.616,0.367,0.349,0.71,0.178,0.112,0.252,0.146,0.351,0.25
llama2_7b,1,llama2_7b-1-0,0.389,0.671,0.337,0.398,0.438,0.402,0.769,0.388,0.379,0.3,0.324,0.376,0.104,0.013,0.298,0.586
llama2_7b,2,llama2_7b-2-0,0.365,0.657,0.302,0.333,0.456,0.311,0.833,0.317,0.389,0.291,0.316,0.393,0.118,0.017,0.321,0.543
llama2_7b,3,llama2_7b-3-0,0.389,0.672,0.357,0.363,0.446,0.336,0.652,0.371,0.398,0.309,0.301,0.39,0.107,0.022,0.306,0.565
llama2_7b,4,llama2_7b-4-0,0.356,0.654,0.365,0.303,0.406,0.363,0.591,0.329,0.362,0.335,0.291,0.374,0.099,0.021,0.337,0.543
llama2_7b,5,llama2_7b-5-0,0.386,0.667,0.373,0.358,0.43,0.505,0.6,0.388,0.36,0.317,0.31,0.372,0.092,0.015,0.328,0.565
llama2_7b,5,llama2_7b-5-1,0.379,0.662,0.337,0.353,0.451,0.37,0.75,0.366,0.373,0.302,0.317,0.381,0.071,0.023,0.341,0.565
llama2_7b,5,llama2_7b-5-2,0.324,0.633,0.269,0.337,0.367,0.452,0.4,0.318,0.304,0.266,0.357,0.377,0.082,0.029,0.35,0.539
llama2_7b,5,llama2_7b-5-3,0.404,0.676,0.313,0.434,0.463,0.487,0.793,0.388,0.383,0.268,0.362,0.371,0.078,0.028,0.32,0.574
llama2_7b,5,llama2_7b-5-4,0.42,0.685,0.319,0.41,0.534,0.571,0.621,0.397,0.397,0.256,0.34,0.403,0.095,0.028,0.338,0.539
