model_name,turn,key,acc_score,map_score,acc_A,acc_B,acc_C,hotel_acc,train_acc,attraction_acc,restaurant_acc,A,B,C
gemma_2b,1,gemma_2b-1-0,0.058,0.441,0.125,0.015,0.027,0.185,0.041,0.0,0.0,0.459,0.304,0.238
gemma_2b,2,gemma_2b-2-0,0.07,0.457,0.145,0.026,0.043,0.151,0.062,0.0,0.059,0.433,0.302,0.266
gemma_2b,3,gemma_2b-3-0,0.092,0.469,0.183,0.051,0.043,0.2,0.092,0.0,0.075,0.417,0.329,0.254
gemma_2b,4,gemma_2b-4-0,0.093,0.474,0.165,0.049,0.068,0.223,0.053,0.0,0.092,0.394,0.308,0.298
gemma_2b,5,gemma_2b-5-0,0.093,0.479,0.166,0.062,0.055,0.197,0.095,0.005,0.067,0.418,0.304,0.278
gemma_2b,5,gemma_2b-5-1,0.095,0.477,0.178,0.059,0.052,0.214,0.082,0.0,0.076,0.426,0.293,0.281
gemma_2b,5,gemma_2b-5-2,0.092,0.478,0.157,0.065,0.058,0.216,0.068,0.0,0.059,0.414,0.293,0.293
gemma_2b,5,gemma_2b-5-3,0.085,0.47,0.145,0.067,0.046,0.227,0.064,0.0,0.046,0.416,0.301,0.283
gemma_2b,5,gemma_2b-5-4,0.078,0.466,0.142,0.062,0.03,0.18,0.058,0.0,0.058,0.418,0.311,0.271
gemma_7b,1,gemma_7b-1-0,0.811,0.901,0.832,0.694,0.902,0.614,0.78,0.991,0.904,0.374,0.256,0.37
gemma_7b,1,gemma_7b-1-0,0.261,0.565,0.568,0.061,0.119,0.486,0.152,0.071,0.352,0.653,0.157,0.19
gemma_7b,2,gemma_7b-2-0,0.536,0.747,0.598,0.439,0.576,0.248,0.487,0.745,0.742,0.382,0.262,0.356
gemma_7b,2,gemma_7b-2-0,0.196,0.522,0.486,0.034,0.083,0.471,0.126,0.02,0.176,0.616,0.163,0.221
gemma_7b,3,gemma_7b-3-0,0.516,0.737,0.614,0.42,0.511,0.191,0.435,0.772,0.704,0.423,0.243,0.334
gemma_7b,3,gemma_7b-3-0,0.189,0.519,0.446,0.051,0.069,0.413,0.156,0.041,0.163,0.583,0.192,0.225
gemma_7b,4,gemma_7b-4-0,0.479,0.717,0.6,0.372,0.474,0.131,0.404,0.774,0.719,0.432,0.242,0.327
gemma_7b,4,gemma_7b-4-0,0.208,0.53,0.5,0.049,0.08,0.408,0.166,0.041,0.198,0.597,0.177,0.227
gemma_7b,5,gemma_7b-5-0,0.468,0.71,0.636,0.329,0.454,0.155,0.34,0.76,0.707,0.453,0.236,0.311
gemma_7b,5,gemma_7b-5-0,0.193,0.526,0.5,0.03,0.067,0.416,0.167,0.063,0.124,0.637,0.159,0.204
gemma_7b,5,gemma_7b-5-1,0.162,0.506,0.419,0.022,0.061,0.399,0.109,0.037,0.102,0.591,0.166,0.243
gemma_7b,5,gemma_7b-5-2,0.153,0.498,0.395,0.024,0.055,0.356,0.092,0.058,0.077,0.588,0.182,0.23
gemma_7b,5,gemma_7b-5-3,0.143,0.491,0.346,0.038,0.055,0.368,0.085,0.063,0.066,0.571,0.196,0.233
gemma_7b,5,gemma_7b-5-4,0.154,0.494,0.404,0.035,0.037,0.341,0.099,0.045,0.12,0.595,0.185,0.22
