,position,dataset,turn,metric scores
0,last,natural_questions,60,0.8461538461538461
1,last,frames,60,0.8742138364779874
2,last,frames,30,0.8683385579937304
3,last,multiwoz,15,0.943
4,last,multiwoz,60,0.9302325581395349
5,middle,natural_questions,60,0.21153846153846154
6,middle,frames,60,0.2389937106918239
7,middle,frames,30,0.438871473354232
8,middle,multiwoz,15,0.805
9,middle,multiwoz,4,0.9226519337016574
10,middle,multiwoz,60,0.33403805496828753
11,first,natural_questions,60,0.17307692307692307
12,first,frames,60,0.1509433962264151
13,first,frames,30,0.23824451410658307
14,first,multiwoz,4,0.897
15,first,multiwoz,15,0.57
16,first,multiwoz,60,0.266384778012685
