model_name,turn,key,metric_score
llama2_7b,4,llama2_7b-4-0,0.45616438356164385
gemma_7b,5,gemma_7b-5-0,0.44616876818622697
llama2_13b,5,llama2_13b-5-1,0.5004849660523764
gemma_7b,3,gemma_7b-3-0,0.450261780104712
gemma_7b,5,gemma_7b-5-1,0.45004849660523766
llama2_7b,2,llama2_7b-2-0,0.46374563784412565
llama2_13b,5,llama2_13b-5-2,0.5295829291949563
gemma_7b,5,gemma_7b-5-2,0.4335596508244423
gemma_7b,2,gemma_7b-2-0,0.44241954245831716
gemma_7b,5,gemma_7b-5-4,0.43452958292919497
gemma_7b,4,gemma_7b-4-0,0.4251357641582622
gemma_7b,5,gemma_7b-5-3,0.4248302618816683
llama2_13b,4,llama2_13b-4-0,0.5360744763382467
llama2_7b,3,llama2_7b-3-0,0.46015125072716695
llama2_13b,5,llama2_13b-5-0,0.5383123181377304
llama2_13b,2,llama2_13b-2-0,0.553702985653354
llama2_13b,5,llama2_13b-5-3,0.524733268671193
llama2_13b,3,llama2_13b-3-0,0.537521815008726
