,position,dataset,turn,metric scores
0,last,natural_questions,7,0.941
1,last,natural_questions,6,0.935
2,last,natural_questions,5,0.94
3,last,natural_questions,4,0.937
4,last,natural_questions,8,0.934
5,last,frames,8,0.929
6,last,frames,4,0.926
7,last,frames,5,0.929
8,last,frames,7,0.922
9,last,frames,6,0.922
10,last,multiwoz,5,0.984
11,last,multiwoz,7,0.983
12,last,multiwoz,6,0.985
13,last,multiwoz,8,0.98
14,last,multiwoz,4,0.987
15,middle,natural_questions,5,0.909
16,middle,natural_questions,6,0.892
17,middle,natural_questions,4,0.929
18,middle,natural_questions,7,0.87
19,middle,natural_questions,8,0.866
20,middle,frames,7,0.898
21,middle,frames,4,0.936
22,middle,frames,6,0.912
23,middle,frames,8,0.888
24,middle,frames,5,0.902
25,middle,multiwoz,7,0.954
26,middle,multiwoz,6,0.968
27,middle,multiwoz,4,0.986
28,middle,multiwoz,5,0.968
29,middle,multiwoz,8,0.937
30,first,natural_questions,5,0.972
31,first,natural_questions,8,0.956
32,first,natural_questions,4,0.972
33,first,natural_questions,6,0.962
34,first,natural_questions,7,0.951
35,first,frames,6,0.92
36,first,frames,5,0.938
37,first,frames,8,0.931185944363104
38,first,frames,4,0.937
39,first,frames,7,0.926
40,first,frames,4,0.937
41,first,multiwoz,6,0.984
42,first,multiwoz,4,0.986
43,first,multiwoz,5,0.99
44,first,multiwoz,8,0.986
45,first,multiwoz,7,0.987
