,position,dataset,turn,metric scores
0,0,multiwoz,2,0.3557617942768755
1,0,multiwoz,2,0.4393063583815029
2,0,multiwoz,3,0.29466357308584684
3,0,multiwoz,5,0.3036750483558994
4,0,multiwoz,4,0.2977571539056458
5,0,multiwoz-inference,2,0.48569218870843
6,0,multiwoz-inference,5,0.40625
7,0,multiwoz-inference,4,0.4795050270688322
8,0,multiwoz-inference,3,0.4802784222737819
9,3,multiwoz,5,0.33849129593810445
10,4,multiwoz,5,0.34622823984526113
11,2,multiwoz,5,0.28916827852998067
12,1,multiwoz,5,0.3413926499032882
